Query Pat5 Pat20
1 0.2 0.1
2 0.6 0.15
3 0.0 0.1
4 0.4 0.15
5 0.2 0.15
6 0.4 0.1
7 1.0 0.6
8 0.2 0.1
9 0.6 0.2
10 0.8 0.75
11 0.6 0.5
12 0.4 0.15
13 0.8 0.3
14 1.0 0.95
15 0.2 0.1
16 0.2 0.25
17 0.4 0.2
18 0.4 0.25
19 1.0 0.4
20 0.6 0.15
21 0.0 0.2
22 0.2 0.1
23 0.6 0.2
24 0.4 0.15
25 0.8 0.5
26 0.0 0.25
27 0.8 0.55
28 0.8 0.2
29 0.8 0.55
30 0.4 0.1
31 0.4 0.1
32 0.2 0.05
33 0.2 0.05
36 0.2 0.25
37 0.4 0.25
38 0.6 0.25
39 0.2 0.3
40 0.2 0.2
42 0.8 0.3
43 0.0 0.3
44 0.4 0.15
45 0.8 0.5
48 0.4 0.35
49 0.0 0.05
57 0.2 0.05
58 1.0 0.55
59 0.8 0.35
60 0.6 0.6
61 1.0 0.7
62 0.4 0.25
63 1.0 0.5
64 0.2 0.05
