Query Pat5 Pat20
1 0.2 0.1
2 0.6 0.15
3 0.0 0.0
4 0.2 0.1
5 0.2 0.05
6 0.2 0.1
7 1.0 0.55
8 0.2 0.1
9 0.4 0.2
10 0.6 0.55
11 0.4 0.3
12 0.2 0.15
13 0.2 0.2
14 0.6 0.35
15 0.0 0.1
16 0.2 0.1
17 0.4 0.15
18 0.0 0.15
19 0.8 0.35
20 0.4 0.15
21 0.0 0.1
22 0.0 0.1
23 0.6 0.15
24 0.4 0.1
25 0.6 0.4
26 0.2 0.25
27 0.6 0.35
28 0.6 0.2
29 0.0 0.15
30 0.2 0.05
31 0.2 0.1
32 0.2 0.1
33 0.0 0.05
36 0.0 0.15
37 0.4 0.15
38 0.2 0.15
39 0.4 0.25
40 0.4 0.2
42 0.0 0.15
43 0.0 0.25
44 0.4 0.15
45 0.8 0.4
48 0.2 0.05
49 0.2 0.1
57 0.2 0.05
58 0.4 0.45
59 0.4 0.4
60 0.2 0.15
61 1.0 0.5
62 0.0 0.0
63 1.0 0.35
64 0.2 0.05
