Query Pat5 Pat20
1 0.0 0.1
2 0.6 0.15
3 0.2 0.05
4 0.4 0.1
5 0.4 0.1
6 0.4 0.1
7 0.8 0.65
8 0.2 0.1
9 0.6 0.2
10 0.8 0.85
11 0.6 0.5
12 0.4 0.1
13 0.8 0.35
14 1.0 0.65
15 0.2 0.1
16 0.2 0.25
17 0.6 0.2
18 0.4 0.25
19 1.0 0.35
20 0.6 0.15
21 0.0 0.15
22 0.0 0.15
23 0.6 0.2
24 0.4 0.15
25 0.8 0.55
26 0.2 0.25
27 0.6 0.55
28 0.8 0.2
29 0.8 0.6
30 0.4 0.2
31 0.2 0.1
32 0.2 0.05
33 0.2 0.05
36 0.2 0.25
37 0.4 0.25
38 0.8 0.45
39 0.4 0.35
40 0.2 0.1
42 0.6 0.3
43 0.0 0.4
44 0.6 0.2
45 0.8 0.35
48 0.4 0.45
49 0.0 0.05
57 0.2 0.05
58 0.6 0.4
59 0.6 0.45
60 0.8 0.65
61 1.0 0.7
62 0.6 0.3
63 1.0 0.45
64 0.2 0.05
