Query Pat5 Pat20
1 0.0 0.0
2 0.6 0.15
3 0.0 0.0
4 0.2 0.15
5 0.2 0.15
6 0.2 0.1
7 0.4 0.4
8 0.2 0.05
9 0.4 0.2
10 0.4 0.5
11 0.8 0.4
12 0.4 0.1
13 0.4 0.25
14 0.4 0.3
15 0.2 0.1
16 0.0 0.15
17 0.0 0.2
18 0.0 0.1
19 0.4 0.4
20 0.2 0.15
21 0.2 0.05
22 0.0 0.05
23 0.6 0.2
24 0.4 0.1
25 0.6 0.45
26 0.0 0.1
27 0.8 0.4
28 0.8 0.2
29 0.8 0.45
30 0.2 0.05
31 0.2 0.1
32 0.2 0.05
33 0.0 0.05
36 0.0 0.15
37 0.4 0.15
38 0.8 0.4
39 0.4 0.3
40 0.0 0.15
42 0.4 0.15
43 0.2 0.15
44 0.2 0.1
45 0.4 0.2
48 0.4 0.15
49 0.0 0.0
57 0.2 0.05
58 0.8 0.25
59 0.4 0.3
60 0.2 0.35
61 0.8 0.7
62 0.0 0.05
63 0.4 0.3
64 0.0 0.05
